Gare de Yverdon-les-Bains
État au 23 janvier 2025
Heure de départ      Ligne   Destination         Vias                                                                                                                                                                                                   Voie
11 15             R       Grandson            Grandson                                                                                                                                                                                               1
11 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
11 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
11 31             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB                                                                                                                           1
11 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          14
11 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
11 45             R       Grandson            Grandson                                                                                                                                                                                               1
11 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
11 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
12 01             IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
12 03             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
12 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
12 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
12 15             R       Grandson            Grandson                                                                                                                                                                                               1
12 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
12 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
12 31             IC 5    St. Gallen          Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen                                                                                 1
12 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
12 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
12 45             R       Grandson            Grandson                                                                                                                                                                                               1
12 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
12 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
13 01             IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
13 03             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
13 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
13 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
13 15             R       Grandson            Grandson                                                                                                                                                                                               1
13 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
